ho monitorato dal giorno : 2019-09-11 16:31:22
al giorno : 2019-09-19 09:35:23

nodi connessi invariati: lancio    percentuale      numero-peer-connessi 
  1011   0.750000 %   24
  1012   0.750000 %   24
  1013   0.750000 %   24
  1014   0.750000 %   24
  1015   0.750000 %   24
  1016   0.750000 %   24
  1017   0.750000 %   24
  1018   0.750000 %   24
  1019   0.750000 %   24
  1020   0.750000 %   24
  1021   0.750000 %   24
  1022   0.750000 %   24
  1023   0.750000 %   24
  1024   0.750000 %   24
  1025   0.750000 %   24
  1026   0.791667 %   24
  1027   0.791667 %   24
  1028   0.791667 %   24
  1029   0.750000 %   24
  1030   0.750000 %   24
  1031   0.750000 %   24
  1032   0.750000 %   24
  1033   0.750000 %   24
  1034   0.750000 %   24
  1035   0.750000 %   24
  1036   0.750000 %   24
  1037   0.750000 %   24
  1038   0.750000 %   24
  1039   0.750000 %   24
  1040   0.750000 %   24
  1041   0.750000 %   24
  1042   0.750000 %   24
  1043   0.750000 %   24
  1044   0.750000 %   24
  1045   0.750000 %   24
  1046   0.750000 %   24
  1047   0.750000 %   24
  1048   0.750000 %   24
  1049   0.750000 %   24
  1050   0.750000 %   24
  1051   0.750000 %   24
  1052   0.750000 %   24
  1053   0.750000 %   24
  1054   0.750000 %   24
  1055   0.750000 %   24
  1056   0.750000 %   24
  1057   0.750000 %   24
  1058   0.750000 %   24
  1059   0.750000 %   24
  1060   0.791667 %   24
  1061   0.791667 %   24
  1062   0.791667 %   24
  1063   0.791667 %   24
  1064   0.791667 %   24
  1065   0.791667 %   24
  1066   0.791667 %   24
  1067   0.750000 %   24
  1068   0.750000 %   24
  1069   0.750000 %   24
  1070   0.750000 %   24
  1071   0.750000 %   24
  1072   0.791667 %   24
  1073   0.791667 %   24
  1074   0.791667 %   24
  1075   0.791667 %   24
  1076   0.791667 %   24
  1077   0.791667 %   24
  1078   0.750000 %   24
  1079   0.791667 %   24
  1080   0.791667 %   24
  1081   0.791667 %   24
  1082   0.750000 %   24
  1083   0.750000 %   24
  1084   0.750000 %   24
  1085   0.750000 %   24
  1086   0.750000 %   24
  1087   0.750000 %   24
  1088   0.750000 %   24
  1089   0.791667 %   24
  1090   0.791667 %   24
  1091   0.791667 %   24
  1092   0.750000 %   24
  1093   0.750000 %   24
  1094   0.750000 %   24
  1095   0.750000 %   24
  1096   0.750000 %   24
  1097   0.791667 %   24
  1098   0.791667 %   24
  1099   0.791667 %   24
  1100   0.791667 %   24
  1101   0.791667 %   24
  1102   0.791667 %   24
  1103   0.791667 %   24
  1104   0.791667 %   24
  1105   0.791667 %   24
  1106   0.791667 %   24
  1107   0.791667 %   24
  1108   0.750000 %   24
  1109   0.750000 %   24
  1110   0.750000 %   24
  1111   0.750000 %   24
  1112   0.750000 %   24
  1113   0.791667 %   24
  1114   0.791667 %   24
  1115   0.791667 %   24
  1116   0.791667 %   24
  1117   0.791667 %   24
  1118   0.791667 %   24
  1119   0.750000 %   23
  1120   0.791667 %   24
  1121   0.791667 %   24
  1122   0.791667 %   24
  1123   0.791667 %   24
  1124   0.791667 %   24
